SR_NUMBER,SR_TYPE,SR_SHORT_CODE,OWNER_DEPARTMENT,STATUS,CREATED_DATE,LAST_MODIFIED_DATE,CLOSED_DATE,STREET_ADDRESS,CITY,STATE,ZIP_CODE,STREET_NUMBER,STREET_DIRECTION,STREET_NAME,STREET_TYPE,DUPLICATE,LEGACY_RECORD,LEGACY_SR_NUMBER,PARENT_SR_NUMBER,COMMUNITY_AREA,WARD,ELECTRICAL_DISTRICT,ELECTRICITY_GRID,POLICE_SECTOR,POLICE_DISTRICT,POLICE_BEAT,PRECINCT,SANITATION_DIVISION_DAYS,CREATED_HOUR,CREATED_DAY_OF_WEEK,CREATED_MONTH,X_COORDINATE,Y_COORDINATE,LATITUDE,LONGITUDE,LOCATION
SR22-00501926,Graffiti Removal Request,GRAF,Streets and Sanitation,Open,03/28/2022 1:08:18 PM,03/28/2022 1:08:19 PM,,3511 W ARMITAGE AVE,,,60647,3511,W,ARMITAGE,AVE,FALSE,FALSE,,,22,26,,H018,2,14,1422,37,,13,2,3,1152795.064,1912987.895,41.9171031,-87.71406575,"(41.917103101349895°, -87.71406575360137°)"
SR22-00501925,311 INFORMATION ONLY CALL,311IOC,311 City Services,Completed,03/28/2022 1:08:12 PM,03/28/2022 1:08:13 PM,03/28/2022 1:08:12 PM,2111 W Lexington ST,Chicago,Illinois,60612,2111,W,Lexington,ST,FALSE,FALSE,,,,,,,,,,,,13,2,3,,,,,
SR22-00501924,Pothole in Street Complaint,PHF,CDOT - Department of Transportation,Open,03/28/2022 1:08:03 PM,03/28/2022 1:10:49 PM,,2471 W CULLOM AVE,,,60618,2471,W,CULLOM,AVE,FALSE,FALSE,,,5,47,,J012,1,19,1911,21,,13,2,3,1158847.194,1928407.528,41.95929352,-87.69140594,"(41.959293519465064°, -87.69140593860695°)"
SR22-00501923,311 INFORMATION ONLY CALL,311IOC,311 City Services,Completed,03/28/2022 1:08:03 PM,03/28/2022 1:08:03 PM,03/28/2022 1:08:03 PM,2111 W Lexington ST,Chicago,Illinois,60612,2111,W,Lexington,ST,FALSE,FALSE,,,,,,,,,,,,13,2,3,,,,,
SR22-00501922,311 INFORMATION ONLY CALL,311IOC,311 City Services,Completed,03/28/2022 1:08:02 PM,03/28/2022 1:08:03 PM,03/28/2022 1:08:03 PM,2111 W Lexington ST,Chicago,Illinois,60612,2111,W,Lexington,ST,FALSE,FALSE,,,,,,,,,,,,13,2,3,,,,,
SR22-00501921,Pothole in Street Complaint,PHF,CDOT - Department of Transportation,Open,03/28/2022 1:07:57 PM,03/28/2022 1:07:58 PM,,6535 N TALMAN AVE,,,60645,6535,N,TALMAN,AVE,FALSE,FALSE,,,2,50,,J006,1,24,2412,36,,13,2,3,1157548.898,1943419.652,42.0005141,-87.69576824,"(42.00051410306953°, -87.69576823813911°)"
SR22-00501920,Pothole in Street Complaint,PHF,CDOT - Department of Transportation,Open,03/28/2022 1:07:48 PM,03/28/2022 1:07:50 PM,,1420 N STATE PKWY,,,60610,1420,N,STATE,PKWY,FALSE,FALSE,,,8,2,,P019,2,18,1824,31,,13,2,3,1175996.318,1910015.166,41.90845445,-87.62891453,"(41.90845444942246°, -87.62891452504633°)"
SR22-00501919,Alley Pothole Complaint,PHB,CDOT - Department of Transportation,Open,03/28/2022 1:07:43 PM,03/28/2022 1:14:05 PM,,2620 N WASHTENAW AVE,,,60647,2620,N,WASHTENAW,AVE,FALSE,FALSE,,,22,32,,J016,1,14,1411,43,,13,2,3,1157844.142,1917513.037,41.92941889,-87.69539168,"(41.929418887552295°, -87.69539168326669°)"
SR22-00501917,311 INFORMATION ONLY CALL,311IOC,311 City Services,Completed,03/28/2022 1:07:21 PM,03/28/2022 1:07:22 PM,03/28/2022 1:07:22 PM,2111 W Lexington ST,Chicago,Illinois,60612,2111,W,Lexington,ST,FALSE,FALSE,,,,,,,,,,,,13,2,3,,,,,
SR22-00501916,311 INFORMATION ONLY CALL,311IOC,311 City Services,Completed,03/28/2022 1:07:17 PM,03/28/2022 1:07:18 PM,03/28/2022 1:07:18 PM,2111 W Lexington ST,Chicago,Illinois,60612,2111,W,Lexington,ST,FALSE,FALSE,,,,,,,,,,,,13,2,3,,,,,
